x,y,z
0.235458,-0.597702,-0.724487
0.235458,-0.597702,-0.724487
0.217346,-0.597702,-0.724487
0.217346,-0.57959,-0.724487
0.199234,-0.57959,-0.724487
0.199234,-0.597702,-0.760712
0.16301,-0.57959,-0.706375
0.108673,-0.597702,-0.724487
0.090561,-0.615814,-0.724487
0.126785,-0.615814,-0.742599
0.108673,-0.597702,-0.706375
0.108673,-0.615814,-0.742599
0.144897,-0.597702,-0.724487
0.126785,-0.597702,-0.760712
0.108673,-0.633926,-0.778824
-0.054337,-0.597702,-0.742599
-0.054337,-0.615814,-0.742599
-0.144897,-0.633926,-0.760712
-0.217346,-0.543365,-0.815048
-0.398468,-0.615814,-0.760712
-0.760712,-0.815048,-0.670151
-0.724487,-0.597702,-0.959946
-0.344131,-0.452805,-0.99617
0.199234,0.036224,-1.430862
0.434692,0.380356,-1.521423
0.362244,0.326019,-0.815048
-0.072449,0.181122,-0.235458
-1.032394,-0.633926,0.199234
-1.376526,-1.285965,0.054337
-1.15918,-1.503311,-0.57959
-0.434692,-0.941833,-1.249741
0.018112,0.126785,-1.974228
0.41658,0.543365,-1.720657
0.41658,0.452805,-0.742599
0.144897,0.199234,0.090561
-0.57959,-0.235458,0.452805
-1.086731,-0.778824,0.688263
-1.611984,-1.249741,0.489029
-1.485199,-1.177292,-1.014282
-1.177292,-0.543365,-2.282135
-0.235458,0.16301,-2.300247
0.289795,0.470917,-1.82933
0.470917,0.489029,-0.597702
0.362244,0.344131,0.307907
-0.271683,-0.018112,0.905609
-1.376526,-0.796936,1.340302
-2.028564,-1.195404,0.633926
-2.010452,-0.742599,-1.104843
-1.376526,-0.072449,-2.300247
-0.072449,0.199234,-2.300247
0.688263,0.41658,-1.122955
0.724487,0.41658,-0.036224
0.199234,0.108673,1.050507
-1.050507,-0.41658,1.285965
-1.774994,-0.796936,1.104843
-2.028564,-0.941833,0.289795
-1.99234,-0.507141,-1.720657
-1.068619,0.054337,-2.300247
-0.253571,0.289795,-2.245911
0.543365,0.271683,-0.652039
0.507141,0.271683,0.235458
-0.253571,0.054337,1.050507
-1.104843,-0.181122,0.99617
-1.503311,-0.706375,0.688263
-2.082901,-1.213516,0.326019
-1.702545,-0.959946,-0.796936
-0.99617,-0.760712,-1.376526
-0.289795,-0.326019,-1.666321
-0.271683,0.271683,-1.648209
-0.253571,0.561478,-0.959946
-0.344131,0.289795,0.470917
-0.235458,-0.217346,1.231628
-0.688263,-0.724487,1.503311
-1.41275,-1.050507,1.304077
-2.209686,-0.815048,-0.054337
-2.046677,-0.181122,-2.191574
-1.249741,0.036224,-2.209686
-0.054337,0,-1.050507
0.470917,0.018112,-0.235458
0.470917,0.072449,0.362244
-0.507141,0.054337,0.941833
-1.485199,-0.380356,1.104843
-1.919891,-0.796936,1.068619
-1.648209,-0.887497,0.307907
-0.796936,-0.796936,-1.032394
-0.778824,-0.652039,-1.430862
-0.597702,-0.57959,-1.285965
-0.525253,-0.018112,-1.448975
-0.525253,0.869385,-0.959946
-0.652039,1.267853,-0.57959
-1.141068,0.670151,0.706375
-1.358414,0.16301,0.869385
-1.557648,-0.398468,1.376526
-1.358414,-0.905609,1.249741
-1.15918,-1.104843,0.380356
-0.851273,-0.887497,-1.267853
-0.380356,-0.326019,-1.774994
-0.41658,0.362244,-1.485199
-0.742599,0.851273,-0.489029
-1.032394,0.887497,0.452805
-0.959946,0.543365,0.57959
-1.141068,-0.235458,0.978058
-1.702545,-1.050507,1.358414
-1.593872,-1.195404,0
-0.99617,-0.597702,-1.304077
-0.597702,-0.235458,-1.430862
-0.507141,0.670151,-1.630096
-0.434692,0.923721,-0.724487
-0.778824,0.760712,0.652039
-1.448975,0.126785,1.539536
-1.503311,-0.688263,1.99234
-1.086731,-0.978058,0.796936
-0.41658,0.090561,-1.322189
-0.072449,0.036224,-1.630096
0.018112,-0.380356,-1.014282
-0.289795,-0.83316,-0.633926
-0.144897,-0.815048,-0.670151
-0.199234,-0.706375,-0.83316
-0.16301,-0.778824,-0.760712
-0.126785,-0.688263,-0.543365
-0.126785,-0.724487,-0.652039
-0.090561,-0.724487,-0.507141
-0.181122,-0.796936,-0.543365
-0.072449,-0.760712,-0.452805
-0.072449,-0.760712,-0.57959
-0.090561,-0.760712,-0.615814
-0.090561,-0.778824,-0.470917
-0.16301,-0.760712,-0.561478
